,Unnamed: 0,S#,Date,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Explosive Weight (max),Hospital Names,Temperature(C),Temperature(F),Day,Date-old,Islamic Date Old,coordinates,Islamic Month,Year,Weights
131,131,132,2008-11-02,<ummalqura.hijri_date.HijriDate object at 0x122cce278>,Holiday,Weekend,9:00 AM,south waziristan,32.3202,69.8597,fata,Zalai FC checkpost wana,Military,High,Open,,Military,None,,8.0,,8,1.0,,,21.735,71.123,Sunday,Sunday-November 2-2008,5 Thw al-Qi`dah 1429 A.H,"(32.3202,69.8597)",11,2008,0
132,132,133,2008-11-04,<ummalqura.hijri_date.HijriDate object at 0x122cce2e8>,Working Day,,,hangu,33.5351,71.0713,kpk,Doabba-checkpost near surpul on hangu tal road,Police,High,Open,,Police,None,,7.0,,4,1.0,40 kg,CMH Hangu,21.11,69.998,Tuesday,Tuesday-November 4-2008,6 Thw al-Qi`dah 1429 A.H,"(33.5351,71.0713)",11,2008,40
133,133,134,2008-11-06,<ummalqura.hijri_date.HijriDate object at 0x122cce358>,Working Day,,,swat,35.2227,72.4258,kpk,Swat Police check post ,Police,High,Open,,Police,None,,2.0,,10,1.0,,Syedo Shrif Hospital ,16.485,61.673,Thursday,Thursday-November 6-2008,8 Thw al-Qi`dah 1429 A.H,"(35.2227,72.4258)",11,2008,0
134,134,135,2008-11-06,<ummalqura.hijri_date.HijriDate object at 0x122cce390>,Working Day,,,bajaur agency,34.8718,71.5249,fata,Salarzai Jirga  in batmali area-Bajaur,Park/Ground,Low,Open,tribes were discussing formation of lashkar,Anti-Militants,Sunni,16.0,23.0,31.0,45,1.0,,,16.705,62.069,Thursday,Thursday-November 6-2008,8 Thw al-Qi`dah 1429 A.H,"(34.8718,71.5249)",11,2008,0
135,135,136,2008-11-11,<ummalqura.hijri_date.HijriDate object at 0x122cce3c8>,Working Day,,,peshawar,34.0043,71.5448,kpk,Qayyum Stadium ,Park/Ground,Low,Open,Sport Stadium,Government Official,None,3.0,4.0,13.0,20,1.0,7 or 8Kg,1.Lady Reading Hospital 2.Combined Military Hospital ,19.17,66.506,Tuesday,Tuesday-November 11-2008,13 Thw al-Qi`dah 1429 A.H,"(34.0043,71.5448)",11,2008,8
136,136,137,2008-11-12,<ummalqura.hijri_date.HijriDate object at 0x122cce438>,Working Day,,10:00:00 AM,charsadda,34.1509,71.7359,kpk,attack on security forces camp in Subhan Khaur school-shabqadar area near muhamand agency boder,Military,High,Closed,,Military,None,,7.0,10.0,12,1.0,,,19.165,66.497,Wednesday,Wednesday-November 12-2008,14 Thw al-Qi`dah 1429 A.H,"(34.1509,71.7359)",11,2008,0
137,137,138,2008-11-17,<ummalqura.hijri_date.HijriDate object at 0x122cce470>,Working Day,,11:15:00 AM,swat,35.2227,72.4258,kpk,Security checkpost in gashgur area of  Khawazakhela,Military,High,Open,,Military,None,,10.0,,8,1.0,,,14.075,57.335,Monday,Monday-November 17-2008,19 Thw al-Qi`dah 1429 A.H.,"(35.2227,72.4258)",11,2008,0
138,138,139,2008-11-20,<ummalqura.hijri_date.HijriDate object at 0x122cce4e0>,Working Day,,during maghrib prayer,bajaur agency,34.8718,71.5249,fata,Mosque in Badaan area of mamund,Religious,Medium,Closed,maghrib prayer,Religious,Sunni,,9.0,,,1.0,,District hospital Bajur,14.17,57.506,Thursday,Thursday-November 20-2008,22 Thw al-Qi`dah 1429 A.H.,"(34.8718,71.5249)",11,2008,0
139,139,140,2008-11-28,<ummalqura.hijri_date.HijriDate object at 0x122cce518>,Working Day,,,buner,34.3943,72.6151,kpk,near Tarezi Chowk on the main Bannu-Kohat road.,Mobile,High,Open,,Police,,,9.0,,16,1.0,,,16.61,61.898,Friday,Friday-November 28-2008,30 Thw al-Qi`dah 1429 A.H.,"(34.3943,72.6151)",11,2008,0
140,140,141,2008-12-01,<ummalqura.hijri_date.HijriDate object at 0x122cce588>,Working Day,,Monday Morning,swat,35.2227,72.4258,kpk,sangota checkpost in mingora,Military,High,Open,,Military,None,,10.0,,50,1.0,,,15.45,59.81,Monday,Monday-December 1-2008,3 Thw al-Hijjah 1429 A.H,"(35.2227,72.4258)",12,2008,0
141,141,142,2008-12-03,<ummalqura.hijri_date.HijriDate object at 0x122cce5f8>,Working Day,,,charsadda,34.1509,71.7359,kpk, Army Convoy passing from shabqadar,Mobile,High,Open,Army convoy ,Military,None,5.0,6.0,8.0,10,1.0,,,15.815,60.467,Wednesday,Wednesday-December 3-2008,5 Thw al-Hijjah 1429 A.H,"(34.1509,71.7359)",12,2008,0
142,142,143,2008-12-05,<ummalqura.hijri_date.HijriDate object at 0x122cce630>,Working Day,,12:30:00pm,orakzai agency,32.9746,70.1456,kpk,bazar of Kalaia area of lower Orakzai angency,Market,Low,Open,,Civilian,None,6.0,10.0,8.0,15,1.0,,Kalidya Hospital ,12.465,54.437,Friday,Friday-December 5-2008,8 Thw al-Hijjah 1429 A.H,"(32.9746,70.1456)",12,2008,0
143,143,144,2008-12-09,<ummalqura.hijri_date.HijriDate object at 0x122cce6a0>,Working Day,,,buner,34.3943,72.6151,kpk,in Dagar-an area of Buner ,Park/Ground,Low,Open,,Government Official,None,,1.0,,4,1.0,,,14.39,57.902,Tuesday,Tuesday-December 9-2008,11 Thw al-Hijjah 1429 A.H,"(34.3943,72.6151)",12,2008,0
144,144,145,2008-12-28,<ummalqura.hijri_date.HijriDate object at 0x122cce710>,Holiday,Weekend,10:30:00 AM,buner,34.3943,72.6151,kpk,Buner Poling station-Infront of govt high school Shalbandi,Government,High,Open,,Government official,None,34.0,37.0,,16,,,,11.41,52.538,Sunday,Sunday-December 28-2008,,"(34.3943,72.6151)",12,2008,0
145,145,146,2009-01-04,<ummalqura.hijri_date.HijriDate object at 0x122cce780>,Holiday,Weekend,7:30:00 PM,d.i khan,31.8238,70.9095,kpk,multan road in Deara Ismail Khan,Mobile,High,Open,muharram ul haram rally,Police,,7.0,10.0,21.0,25,1.0, 10 kg ,Poly clinic multan ,11.445,52.601000000000006,Sunday,Sunday-January 4-2009,7 MuHarram 1430 A.H,"(31.8238,70.9095)",1,2009,10
146,146,147,2009-01-04,<ummalqura.hijri_date.HijriDate object at 0x122cce828>,Holiday,Weekend,,bannu,32.9861,70.6042,kpk,near a check-post in Officers’ Colony,Police,High,open,,Police,,,1.0,,2,1.0,,,8.275,46.895,Sunday,Sunday-January 4-2009,7 MuHarram 1430 A.H,"(32.9861,70.6042)",1,2009,0
147,147,148,2009-01-23,<ummalqura.hijri_date.HijriDate object at 0x122cce8d0>,Working Day,,,swat,35.3833,72.1833,kpk,near Mingora town,Military,High,open,,Military,,,2.0,11.0,25,1.0,,,12.95,55.31,Friday,Friday-January 23-2009,26 MuHarram 1430 A.H. ,"(35.3833,72.1833)",1,2009,0
148,148,149,2009-02-05,<ummalqura.hijri_date.HijriDate object at 0x122cce978>,Working Day,,6.35 pm,d.g khan,30.05,70.6333,punjab,Outside Jhar ali Imambargah-in muslim town area ,Religious,Medium,Open,,Religious,Shiite,30.0,32.0,48.0,55,1.0,,Local Hospital In DG Khan/Nishtar Hospital,15.105,59.18899999999999,Thursday,Thursday-February 5-2009,10 safar 1430 A.H.,"(30.05,70.6333)",2,2009,0
149,149,150,2009-02-05,<ummalqura.hijri_date.HijriDate object at 0x122cce9b0>,Working Day,,,swat,35.3833,72.1833,kpk,near a Police station in the Mingora town of Swat District,Police,High,open,,Police,,,12.0,,,,,,9.435,48.983,Thursday,Thursday-February 5-2009,10 safar 1430 A.H.,"(35.3833,72.1833)",2,2009,0
150,150,151,2009-02-06,<ummalqura.hijri_date.HijriDate object at 0x122cce9e8>,Working Day,,8.15 am,khyber agency,34.0211,71.2874,fata,Peshawar-Torkham Highway near Teddi Bazar in Jamrood ,Mobile,Low,Open,struck the trailer when signalled to stop,Foreigner,Christian,,0.0,,7,1.0,,Jamrud Civil Hospital,10.32,50.576,Friday,Friday-February 6-2009,11 safar 1430 A.H,"(34.0211,71.2874)",2,2009,0
151,151,152,2009-02-09,<ummalqura.hijri_date.HijriDate object at 0x122ccea58>,Working Day,,,bannu,32.9861,70.6042,kpk,Police checkpost on Baran Bridge,Police,High,Open,,Police,None,,5.0,17.0,18,1.0,,DHQ Hospital Bannu  / Peshawar Hospital,14.585,58.253,Monday,Monday-February 9-2009,14 safar 1430 A.H,"(32.9861,70.6042)",2,2009,0
152,152,153,2009-02-20,<ummalqura.hijri_date.HijriDate object at 0x122cceac8>,Working Day,,,d.i khan,31.8238,70.9095,kpk,funeral procession on  Dera Bannu road-near shobra hotel,Park/Ground,Low,Open,Funeral Procession of Imambargah Caretaker,Civilian,Shiite,30.0,36.0,150.0,200,1.0,,1. DHQ D.I.Khan 2. Nishtar Hospital 3. Lady Reading Pesh,15.555,59.999,Friday,Friday-February 20-2009,25 safar 1430 A.H,"(31.8238,70.9095)",2,2009,0
153,153,154,2009-02-21,<ummalqura.hijri_date.HijriDate object at 0x122cceb38>,Working Day,,,bannu,32.9861,70.6042,kpk,Lakki town,Police,High,Open,,Police,None,,2.0,,,,,,14.42,57.956,Saturday,Saturday-February 21-2009,26 safar 1430 A.H,"(32.9861,70.6042)",2,2009,0
154,154,155,2009-02-23,<ummalqura.hijri_date.HijriDate object at 0x122cceb70>,Working Day,,,bannu,32.9861,70.6042,kpk,Bannu miranshah road-House of DSP,Residence,Medium,Closed,,Police,None,,1.0,,2,,,,15.7,60.26,Monday,Monday-February 23-2009,28 safar 1430 A.H.,"(32.9861,70.6042)",2,2009,0
155,155,156,2009-03-02,<ummalqura.hijri_date.HijriDate object at 0x122ccebe0>,Working Day,,,pishin,30.5833,67,baluchistan,Killi Karbala village in Pishin district,Educational,Low,Closed,,Government Official,Sunni,5.0,6.0,5.0,12,1.0,,Civil hospital Quetta,18.76,65.768,Monday,Monday-March 2-2009,5 Raby` al-awal 1430 A.H,"(30.5833,67)",3,2009,0
156,156,157,2009-03-11,<ummalqura.hijri_date.HijriDate object at 0x122ccec88>,Working Day,,,peshawar,34.0043,71.5448,kpk,sarki gate area in Nimak Mandi area-Peshawar,Market,Low,Open,Inauguration  of an  event by Sr Minister,Government Official,None,4.0,5.0,,6,1.0,,Lady Reading Hospital ,18.375,65.075,Wednesday,Wednesday-March 11-2009,14 Raby` al-awal 1430 A.H,"(34.0043,71.5448)",3,2009,0
157,157,158,2009-03-16,<ummalqura.hijri_date.HijriDate object at 0x122ccecf8>,Working Day,,,rawalpindi,33.6058,73.0437,punjab,Rawalpindi cantt-Pirwadhi bus stand,Transport,Low,Open,,Civilian,None,12.0,15.0,16.0,18,1.0,10 kg ,DHQ Hospital RWP 2. Benazir Hospital RWP,20.875,69.575,Monday,Monday-March 16-2009,19 Raby` al-awal 1430 A.H,"(33.6058,73.0437)",3,2009,10
158,158,159,2009-03-23,<ummalqura.hijri_date.HijriDate object at 0x122cceda0>,Holiday,Pakistan Day,,islamabad,33.718,73.0718,capital,sitara maket-special branch police gate,Police,High,Open,,Police,None,,2.0,,8,1.0,,,18.575,65.435,Monday,Monday-March 23-2009,26 Raby` al-awal 1430 A.H,"(33.718,73.0718)",3,2009,0
159,159,160,2009-03-26,<ummalqura.hijri_date.HijriDate object at 0x122ccee48>,Working Day,,8:30:00 AM,tank,32.226,70.3761,kpk,road side restaurant opposite to military base in Jandola,Market,Low,Open,members of peace committe -members of Turkestan group,Anti-Militants,Sunni,7.0,15.0,,25,1.0,,Civil Hospital Tank,14.305,57.749,Thursday,Thursday-March 26-2009,29 Raby` al-awal 1430 A.H,"(32.226,70.3761)",3,2009,0
160,160,161,2009-03-27,<ummalqura.hijri_date.HijriDate object at 0x122cceeb8>,Working Day,,,khyber agency,34.0211,71.2874,fata,Mosque in Jamrood Tehsil on peshawar-turkham highway,Religious,Medium,Closed,,Religious,Sunni,70.0,76.0,100.0,175,1.0,,Peshwar Hospitals,18.595,65.471,Friday,Friday-March 27-2009,30 Raby` al-awal 1430 A.H,"(34.0211,71.2874)",3,2009,0
161,161,162,2009-03-30,<ummalqura.hijri_date.HijriDate object at 0x122ccef60>,Working Day,,,north waziristan,32.9746,70.1456,fata,Mirzail checkpost-Miranshah,Mobile,High,Open,security forces convoy was passing from checkpost,Military,None,,4.0,,9,1.0,,,14.415,57.947,Monday,Monday-March 30-2009,3 Raby` al-THaany 1430 A.H,"(32.9746,70.1456)",4,2009,0
162,162,163,2009-04-04,<ummalqura.hijri_date.HijriDate object at 0x122cc8048>,Working Day,,7.35 PM/7:37 PM,islamabad,33.718,73.0718,capital,Margala Road Check Post Islamabad,Military,High,Open,,Military,None,,8.0,4.0,7,1.0,8Kg,PIMS Polyclinic ,20.17,68.306,Saturday,Saturday-April 4-2009,8 Raby` al-THaany 1430 A.H,"(33.718,73.0718)",4,2009,8
163,163,164,2009-04-04,<ummalqura.hijri_date.HijriDate object at 0x122cc80b8>,Working Day,,,north waziristan,32.9746,70.1456,fata,mirnshah security checkpost,Mobile,High,Open,military convoy was passing from checkpost,Military,None,,8.0,,39,1.0,,,15.57,60.026,Saturday,Saturday-April 4-2009,8 Raby` al-THaany 1430 A.H,"(32.9746,70.1456)",4,2009,0
164,164,165,2009-04-05,<ummalqura.hijri_date.HijriDate object at 0x122cc8128>,Holiday,Weekend,12:30:00 PM,chakwal,32.9303,72.8556,punjab,Imambargah in Chakwal ,Religious,Medium,Closed,Shia Religious Gathering ,Religious,Shiite,22.0,27.0,40.0,60,1.0,,,20.555,68.999,Sunday,Sunday-April 5-2009,9 Raby` al-THaany 1430 A.H,"(32.9303,72.8556)",4,2009,0
165,165,166,2009-04-15,<ummalqura.hijri_date.HijriDate object at 0x122cc81d0>,Working Day,,Evening,charsadda,34.1509,71.7359,kpk,Harichand Police Post- Charsadda,Police,High,Open,,Police,None,16.0,18.0,5.0,10,1.0,100kg,Charsadda DHQ/Tangi Hospital/JamalAbad hospital/Peshawar Hospital,,,Wednesday,Wednesday-April 15-2009,19 Raby` al-THaany 1430 A.H,"(34.1509,71.7359)",4,2009,100
166,166,167,2009-04-18,<ummalqura.hijri_date.HijriDate object at 0x122cc8240>,Working Day,,3pm/4.15 pm,hangu,33.5351,71.0713,kpk,Check Post close to police station in Doaba Area,Police,High,Open,,Police,None,21.0,27.0,26.0,65,1.0,100,Civil Hospital Hangu/ CMH Thall,21.175,70.115,Saturday,Saturday-April 18-2009,22 Raby` al-THaany 1430 A.H,"(33.5351,71.0713)",4,2009,100
167,167,168,2009-05-05,<ummalqura.hijri_date.HijriDate object at 0x122cc82b0>,Working Day,,MORNING,peshawar,34.0043,71.5448,kpk,bara qadeem Check post-on peshawar-bara road-12km west of peshawar cantt,Military,High,Open,,Military,None,7.0,11.0,25.0,48,1.0,85,Khyber Teaching Hospital / Hayatabad Medical Complex,18.615,65.507,Tuesday,Tuesday-May 5-2009,10 Jumaada al-awal 1430 A.H.,"(34.0043,71.5448)",5,2009,85
168,168,169,2009-05-11,<ummalqura.hijri_date.HijriDate object at 0x122cc8358>,Working Day,,9:30 AM,dara adam khel,33.6854,71.5131,kpk,check post in the Outstrikes of Darra Adamkhel-in area of Sabeena police station,Police,High,Open,,Police,None,10.0,11.0,20.0,27,1.0,,1. Lady Reading Hospital Pesh 2. CMH Peshwar,25.66,78.188,Monday,Monday-May 11-2009,16 Jumaada al-awal 1430 A.H,"(33.6854,71.5131)",5,2009,0
169,169,170,2009-05-21,<ummalqura.hijri_date.HijriDate object at 0x122cc8400>,Working Day,,Late Night/Evening,tank,32.226,70.3761,kpk,FC fort in Jandola,Military,High,Open,FC camp,Military,None,6.0,9.0,25.0,36,1.0,,CMH Dera/ Tank Hospitals,21.54,70.77199999999998,Thursday,Thursday-May 21-2009,26 Jumaada al-awal 1430 A.H,"(32.226,70.3761)",5,2009,0
170,170,171,2009-05-27,<ummalqura.hijri_date.HijriDate object at 0x122cc8470>,Working Day,,10.10 AM/10:30 AM,lahore,31.5451,74.3407,punjab,hit police checkpost outside Rescue 15 Office and country's premier intelligence agency,Police,High,Open,,Police,None,26.0,27.0,320.0,370,1.0,125 kg,Ganga Ram hospital / Meo/ Services Hospital,33.275,91.895,Wednesday,Wednesday-May 27-2009,3 Jumaada al-THaany 1430 A.H,"(31.5451,74.3407)",6,2009,125
171,171,172,2009-05-28,<ummalqura.hijri_date.HijriDate object at 0x122cc84e0>,Working Day,,5:40pm,peshawar,34.0043,71.5448,kpk,Kohat Road-Sira Khora- Police  Check Post ,Police,High,Open,,Police,None,3.0,5.0,3.0,9,1.0,5kg,Lady Reading Hospital  Peshawar ,34.19,93.542,Thursday,Thursday-May 28-2009,4 Jumaada al-THaany 1430 A.H,"(34.0043,71.5448)",6,2009,5
172,172,173,2009-05-28,<ummalqura.hijri_date.HijriDate object at 0x122cc8550>,Working Day,,,d.i khan,31.8238,70.9095,kpk,checkpost on circular road,Police,High,Open,,Police,None,3.0,5.0,8.0,12,1.0,160,,29.085,84.353,Thursday,Thursday-May 28-2009,4 Jumaada al-THaany 1430 A.H,"(31.8238,70.9095)",6,2009,160
173,173,174,2009-06-05,<ummalqura.hijri_date.HijriDate object at 0x122cc85c0>,Working Day,,Jummah prayer time,upper dir,35.1977,71.8749,fata,Masjid in Hayagai Sharqai village,Religious,Medium,Closed,,Religious,Sunni,,40.0,50.0,70,1.0,,,23.36,74.048,Friday,Friday-June 5-2009,12 Jumaada al-THaany 1430 A.H,"(35.1977,71.8749)",6,2009,0
174,174,175,2009-06-06,<ummalqura.hijri_date.HijriDate object at 0x122cc8668>,Working Day,,8:35 PM,islamabad,33.718,73.0718,capital,Rescue 15 building in Islamabad ,Police,High,Closed,Senior Police Officials meeting,Police,None,2.0,2.0,4.0,5,1.0,,PIMS,26.235,79.223,Saturday,Saturday-June 6-2009,13 Jumaada al-THaany 1430 A.H,"(33.718,73.0718)",6,2009,0
175,175,176,2009-06-09,<ummalqura.hijri_date.HijriDate object at 0x122cc86d8>,Working Day,,10.30 pm,peshawar,34.0043,71.5448,kpk,Pearl Continental Hotel Peshawar,Hotel,Medium,Closed,,Foreigner,None,11.0,15.0,50.0,80,1.0,500 Kg,Lady Reading Hospital  Peshawar ,29.325,84.785,Tuesday,Tuesday-June 9-2009,16 Jumaada al-THaany 1430 A.H,"(34.0043,71.5448)",6,2009,500
176,176,177,2009-06-11,<ummalqura.hijri_date.HijriDate object at 0x122cc8780>,Working Day,,Thursday night ,peshawar,34.0043,71.5448,kpk,ring road Latifabad-Peshawar ,Police,High,Open,,Police,None,1.0,2.0,8.0,15,1.0,,LRH ,30.935,87.68299999999998,Thursday,Thursday-June 11-2009,18 Jumaada al-THaany 1430 A.H,"(34.0043,71.5448)",6,2009,0
177,177,178,2009-06-12,<ummalqura.hijri_date.HijriDate object at 0x122cc87f0>,Working Day,,After Friday prayers,lahore,31.5451,74.3407,punjab,Jamia Naeemia madrassa-Garhai Shahu area,Religious,Medium,Closed,,Religious,Sunni,5.0,7.0,5.0,12,1.0,24Kg,Mayo-Sir Ganga Ram Servuces-Jinnah Hospital,35.985,96.773,Friday,Friday-June 12-2009,19 Jumaada al-THaany 1430 A.H,"(31.5451,74.3407)",6,2009,24
178,178,179,2009-06-12,<ummalqura.hijri_date.HijriDate object at 0x122cc8898>,Working Day,,2.40 Pm,nowshehra,34.0322,73.0944,kpk,military run Mosque in Nowshera Cantt-on supply depot morr,Religious,Medium,Closed,,Religious,Sunni,4.0,7.0,63.0,105,1.0,,contonment hospital-DHQ Hospital-peshawar CMH,29.2,84.56,Friday,Friday-June 12-2009,19 Jumaada al-THaany 1430 A.H,"(34.0322,73.0944)",6,2009,0
179,179,180,2009-06-22,<ummalqura.hijri_date.HijriDate object at 0x122cc8940>,Working Day,,,swat,35.3833,72.1833,kpk,Thakot Police check-post in Battagram District.,Police,High,Open,,Police,None,,2.0,,7,,,,27.665,81.797,Monday,Monday-June 22-2009,29 Jumaada al-THaany 1430 A.H. ,"(35.3833,72.1833)",6,2009,0
180,180,181,2009-06-26,<ummalqura.hijri_date.HijriDate object at 0x122cc89e8>,Working Day,,6:00:00 AM/6:30:00 AM,muzaffarabad,34.3597,73.4711,ajk,near non commisioned officers place-Muzaffarabad,Mobile,High,Open,,Military,None,,2.0,3.0,4,1.0,,CMH Muzzafarabad,33.255,91.859,Friday,Friday-June 26-2009,3 Rajab 1430 A.H,"(34.3597,73.4711)",7,2009,0
181,181,182,2009-06-30,<ummalqura.hijri_date.HijriDate object at 0x122cc8a90>,Working Day,,,khyber agency,34.0211,71.2874,fata,Quetta-Khi RCD highway-town of Torkham ,Foreign,High,Open,blew himself up while being searched at the pak-afghna checkpost,foreigner,Sunni,1.0,4.0,10.0,11,1.0,,,31.26,88.26799999999999,Tuesday,Tuesday-June 30-2009,7 Rajab 1430 A.H.,"(34.0211,71.2874)",7,2009,0
182,182,183,2009-07-01,<ummalqura.hijri_date.HijriDate object at 0x122cc8b38>,Working Day,,,peshawar,34.0043,71.5448,kpk,Mashokhel Mera Area-Kohat Road,Mobile,High,Open,,Unknown,None,,1.0,,,1.0,,,30.385,86.693,Wednesday,Wednesday-July 1-2009,8 Rajab 1430 A.H.,"(34.0043,71.5448)",7,2009,0
183,183,184,2009-07-02,<ummalqura.hijri_date.HijriDate object at 0x122cc8ba8>,Working Day,,4:30pm,rawalpindi,33.6058,73.0437,punjab,KRL Bas at Chur Chowk on peshawar road-rwp cantt,Mobile,High,Open,,Government official,None,,1.0,25.0,40,1.0,10Kg,,27.29,81.122,Thursday,Thursday-July 2-2009,9 Rajab 1430 A.H.,"(33.6058,73.0437)",7,2009,10
184,184,185,2009-07-08,<ummalqura.hijri_date.HijriDate object at 0x122cc8c18>,Working Day,,3:00am,peshawar,34.0043,71.5448,kpk,nasir bagh road choongi bazar near police colony,Market,Low,Open,,Police,None,,1.0,2.0,5,1.0,20 Kg,,34.825,94.685,Wednesday,Wednesday-July 8-2009,15 Rajab 1430 A.H,"(34.0043,71.5448)",7,2009,20
185,185,186,2009-07-28,<ummalqura.hijri_date.HijriDate object at 0x122cc8c88>,Working Day,,,north waziristan,32.9746,70.1456,kpk,Dirdony post on ghulam khan road-Near Miranshah,Police,High,Open,,Police,None,,2.0,3.0,5,1.0,,,27.485,81.473,Tuesday,Tuesday-July 28-2009,6 SHa`baan 1430 A.H,"(32.9746,70.1456)",8,2009,0
186,186,187,2009-08-13,<ummalqura.hijri_date.HijriDate object at 0x122cc8d30>,Working Day,,,south waziristan,32.3202,69.8597,fata,wana bazar,Mobile,Low,Open,leader of Nawaz group-a group against taliban,Anti-Militants,Sunni,4.0,5.0,,,1.0,,,26.925,80.465,Thursday,Thursday-August 13-2009,22 SHa`baan 1430 A.H,"(32.3202,69.8597)",8,2009,0
187,187,188,2009-08-15,<ummalqura.hijri_date.HijriDate object at 0x122cc8da0>,Working Day,,10:00 AM,swat,35.2227,72.4258,kpk,Check post in Khawazakhela- Char Bagh road near-waliabad village,Police,High,Open,,Police,None,3.0,5.0,,4,1.0,,Saidu Sharif hospital,32.845,91.121,Saturday,Saturday-August 15-2009,24 SHa`baan 1430 A.H,"(35.2227,72.4258)",8,2009,0
188,188,189,2009-08-16,<ummalqura.hijri_date.HijriDate object at 0x122cc8e10>,Holiday,Weekend,,swat,35.2227,72.4258,kpk,security forces check point,Police,High,Open,,Police,None,,1.0,,3,1.0,,,29.985,85.973,Sunday,Sunday-August 16-2009,25 SHa`baan 1430 A.H,"(35.2227,72.4258)",8,2009,0
189,189,190,2009-08-18,<ummalqura.hijri_date.HijriDate object at 0x122cc8eb8>,Working Day,,7:00 PM,north waziristan,32.9746,70.1456,kpk,Esha check post on bannu-miranshah road,Military,High,Open,,Military,None,3.0,7.0,,3,1.0,,,24.65,76.37,Tuesday,Tuesday-August 18-2009,27 SHa`baan 1430 A.H.,"(32.9746,70.1456)",8,2009,0
190,190,191,2009-08-21,<ummalqura.hijri_date.HijriDate object at 0x122cc8f60>,Working Day,,,kohat,33.5833,71.4333,kpk,BB Pakdaman Street,Civilian,,Open,,Civilian,None,,0.0,,,1.0,,,29.035,84.26299999999998,Friday,Friday-August 21-2009,30 SHa`baan 1430 A.H,"(33.5833,71.4333)",8,2009,0
191,191,192,2009-08-22,<ummalqura.hijri_date.HijriDate object at 0x122cc2048>,Working Day,,5:00 PM,swat,35.2227,72.4258,kpk,kanju area of Kabal tehsil,Residence,Low,Closed, police raid in the area ,Police,None,2.0,3.0,2.0,8,1.0,,,26.025,78.845,Saturday,Saturday-August 22-2009,1 RamaDHaan 1430 A.H. ,"(35.2227,72.4258)",9,2009,0
192,192,193,2009-08-23,<ummalqura.hijri_date.HijriDate object at 0x122cc20b8>,Holiday,Weekend,,peshawar,34.0043,71.5448,kpk,Momin Town,Residence,Low,open,Fateh Khawani of Haji Mobin Afridi,Anti-Militants,Sunni,,3.0,,15,1.0,12Kg,Lady Reading Hospital,29.92,85.85600000000002,Sunday,Sunday-August 23-2009,2 RamaDHaan 1430 A.H. ,"(34.0043,71.5448)",9,2009,12
193,193,194,2009-08-27,<ummalqura.hijri_date.HijriDate object at 0x122cc2160>,Working Day,,aftar time,khyber agency,34.0211,71.2874,fata,security post near Torkham border,Military,High,Open,,Military,None,20.0,22.0,10.0,27,1.0,,Landi Kotal Hospital,30.08,86.14399999999998,Thursday,Thursday-August 27-2009,6 RamaDHaan 1430 A.H,"(34.0211,71.2874)",9,2009,0
194,194,195,2009-08-30,<ummalqura.hijri_date.HijriDate object at 0x122cc21d0>,Holiday,Weekend,,swat,35.2227,72.4258,kpk,police training center in Mingora,Police,High,Closed,,Police,None,16.0,18.0,4.0,14,1.0,12 Kg,Saidu Sharif hospital,29.155,84.479,Sunday,Sunday-August 30-2009,9 RamaDHaan 1430 A.H,"(35.2227,72.4258)",9,2009,12
195,195,196,2009-09-12,<ummalqura.hijri_date.HijriDate object at 0x122cc2278>,Working Day,,5 min befor aftar,hangu,33.5351,71.0713,kpk,Doaba police station,Police,High,Closed,,Police,None,,,2.0,4,1.0,,,26.635,79.943,Saturday,Saturday-September 12-2009,22 RamaDHaan 1430 A.H,"(33.5351,71.0713)",9,2009,0
196,196,197,2009-09-13,<ummalqura.hijri_date.HijriDate object at 0x122cc22b0>,Holiday,Weekend,,malakand,34.503,71.9046,kpk,checkpost in Thana area-near batkhela,Military,High,Open,,Military,None,,1.0,3.0,5,2.0,,,28.31,82.958,Sunday,Sunday-September 13-2009,23 RamaDHaan 1430 A.H,"(34.503,71.9046)",9,2009,0
197,197,198,2009-09-18,<ummalqura.hijri_date.HijriDate object at 0x122cc2320>,Working Day,,10:00 AM,kohat,33.5833,71.4333,kpk,Kacha pakha bazar-in Astarzai union council area,Market,Low,Open,,Civilian,None,30.0,37.0,50.0,60,1.0,150 kg ,,29.19,84.542,Friday,Friday-September 18-2009,28 RamaDHaan 1430 A.H,"(33.5833,71.4333)",9,2009,150
198,198,199,2009-09-19,<ummalqura.hijri_date.HijriDate object at 0x122cc2390>,Working Day,,Saturday Evening,dara adam khel,33.6854,71.5131,kpk,Security Check Post in zorkalay area,Police,High,Open,,Police,None,,2.0,,1,1.0,,,29.865,85.757,Saturday,Saturday-September 19-2009,29 RamaDHaan 1430 A.H,"(33.6854,71.5131)",9,2009,0
199,199,200,2009-09-21,<ummalqura.hijri_date.HijriDate object at 0x122cc23c8>,Working Day,,After Midnight,totalai,34.2,72.5,kpk,Tatalai District,Educational,Low,Closed,,Government Official,None,,0.0,,,1.0,,,26.855,80.339,Monday,Monday-September 21-2009,2 SHawwal 1430 A.H. ,"(34.2,72.5)",10,2009,0
